# circuit bytes: 8200
# comm_lo: 0x80b474c1c427c2091a16c5636e7c2c3c
# comm_hi: 0xe24689d297fa89133effd76ac51a1eb6
# n_tc:    4
apples-prove: orchestrating Cairo 1 → simple-bootloader → Stwo Circle STARK
  fixture:     /home/abdel_starkware_co/grover-tax/fixtures/v0.2.json
  executable:  /home/abdel_starkware_co/grover-tax/stwo-side/cairo/target/dev/grover_tax_executable.executable.json
  bootloader:  /home/abdel_starkware_co/grover-tax/third_party/proving-utils/crates/cairo-program-runner-lib/resources/compiled_programs/bootloaders/simple_bootloader_compiled.json
2026-05-19T15:46:17.528885Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=44.2ms time.idle=1.61µs
2026-05-19T15:46:17.528940Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:17.528945Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=5.45µs time.idle=729ns
2026-05-19T15:46:17.528971Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:17.528976Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=4.70µs time.idle=479ns
2026-05-19T15:46:17.529009Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:17.529022Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=13.4µs time.idle=297ns
2026-05-19T15:46:17.529066Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:17.529092Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=25.9µs time.idle=314ns
2026-05-19T15:46:17.532594Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:17.537041Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=4.45ms time.idle=1.14µs
2026-05-19T15:46:17.592664Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:17.676610Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=83.9ms time.idle=2.75µs
2026-05-19T15:46:17.676721Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:17.676727Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=5.68µs time.idle=848ns
2026-05-19T15:46:17.676753Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:17.676769Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=15.8µs time.idle=287ns
2026-05-19T15:46:17.694040Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: enter
2026-05-19T15:46:17.712328Z  INFO run:stwo_run_and_prove:prove:prove_cairo:Base trace:Interpolation for commitment: stwo::prover::pcs: close time.busy=18.3ms time.idle=1.81µs
